"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"J16,J8,J10";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";3;"Conn_01x04";;;
2;"R8,R5,R12,R7,R4,R3,R1,R2,R6,R9,R10,R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";12;"4k7";;;
3;"J21,J17,J13,J19,J12,J11,J14,J22,J18";"PinHeader_1x05_P2.54mm_Vertical";9;"Conn_01x05_Pin";;;
4;"J33,J34,J9,J4,J5,J41,J3";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";7;"Screw_Terminal_01x02";;;
5;"J20";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
6;"R18,R19,R20,R17,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";5;"100k";;;
7;"U1";"MODULE_DEVKIT_V1_ESP32-WROOM-32";1;"DEVKIT_V1_ESP32-WROOM-32";;;
8;"C11,C8,C10,C6,C2,C12,C5";"CP_Radial_D5.0mm_P2.50mm";7;"100nF";;;
9;"R15,R13,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"1k";;;
10;"J53";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08_Socket";;;
11;"J42";"PinSocket_1x03_P2.54mm_Vertical";1;"BUZZER";;;
12;"Q5,Q3,Q1";"TO-92_Inline";3;"BC547";;;
13;"SW3,SW2";"SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm";2;"SW_DIP_x04";;;
14;"J51,J49";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";2;"Screw_Terminal_01x03";;;
15;"Q7,Q8,Q9";"TO-220-3_Vertical";3;"AOT482L";;;
16;"R21";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"330";;;
17;"J48,J50";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"Conn_01x03";;;
18;"J6";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack_MountingPin";;;
19;"J46";"IDC-Header_2x08_P2.54mm_Vertical";1;"Conn_02x08_Odd_Even";;;
20;"D1,D2";"LED_D5.0mm";2;"LED";;;
21;"SW5,SW4";"SW_PUSH_6mm";2;"SW_Push";;;
22;"J1,J2";"PinHeader_1x19_P2.54mm_Vertical";2;"Conn_01x19_Pin";;;
23;"C4,C1,C9,C7";"CP_Radial_D5.0mm_P2.50mm";4;"1uF";;;
24;"J15,J7";"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal";2;"Screw_Terminal_01x04";;;
25;"J47,J45";"PinSocket_2x05_P2.54mm_Vertical";2;"Conn_02x05_Top_Bottom";;;
26;"J44";"PinSocket_1x04_P2.54mm_Vertical";1;"KY037";;;
27;"Q6,Q4,Q2";"TO-92_Inline";3;"BC557";;;
28;"SW1";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";1;"SW_DIP_x02";;;
29;"J43";"PinSocket_1x06_P2.54mm_Vertical";1;"PCM5102A";;;
30;"J52";"PinSocket_1x03_P2.54mm_Vertical";1;"D4012SA";;;
31;"C3";"CP_Radial_D5.0mm_P2.50mm";1;"10uF";;;
